level,cn,ev_p_rooij,ev_p_delta,ev_a_given_c,ev_nc_given_na,ev_A || C,ev_A implies -C,ev_A implies C,ev_C implies -A,ev_C implies A,alpha,cost_conditional,ev_uncertain_both
PL,C implies A,0.4111637939585893,0.3731328874770988,0.4006115003981491,0.38632381071824823,0.11867626109056612,2.95440930329281e-13,0.45542160197959386,3.698900199532722e-4,0.42553224690960917,3,0.01,0.8745962091925007
prior,A || C,-13.687276239670766,0.010904319816701851,0.23356908157686232,0.22087208569443967,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0.01,0.6167182661809306
prior,A implies -C,-25.103542705506225,-0.1254218295324652,0.010829036194738954,0.006902258293673033,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0.01,0.6167182661809306
prior,A implies C,0.1289925944798248,0.12243063128680366,0.12489786203377998,0.12930311396144095,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0.01,0.6167182661809306
prior,C implies -A,-48.10929802981573,-0.11606542312336467,0.0068008935658471145,0.01146529087648965,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0.01,0.6167182661809306
prior,C implies A,0.12418492877101418,0.11384556490168506,0.12878930714424505,0.1250523680340861,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,3,0.01,0.6167182661809306
LL,A || C,-33.089774357499394,0.09476809551816032,0.23729654786382065,0.10324664612658319,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0.01,0.5562985815035588
LL,A implies -C,-6.17919763290141e-11,-7.17587080620969e-14,5.8462490166522e-13,4.295141799196171e-14,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0.01,0.5562985815035588
LL,A implies C,0.32347969082651484,0.30652014598090654,0.30774394849101405,0.31773555223540967,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0.01,0.5562985815035588
LL,C implies -A,-1.7488781238012843,-7.601939298403021e-5,1.3265202235916083e-4,4.752490565399193e-7,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0.01,0.5562985815035588
LL,C implies A,0.2902818676642596,0.26197801408618665,0.2843879945554411,0.27060464255997063,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,5,0.01,0.5562985815035588
PL,A || C,-0.33958481294255677,8.513011509093687e-4,0.022781817282361876,0.0021577308408180246,0.040838006795498205,8.460946330569335e-14,0.4959884990709705,1.1574818848818699e-4,0.46305774594497795,5,0.01,0.964190302009858
